#PPI	ID_b	Sym_b	LocID_b	ID_p	Sym_p	LocID_p	Y2H	Exp	Hs	Dm	Ce	Sc	GO	Qcount
1	152	BCCIP	56647	1409	PTN	5764	LacZ4		Y2H:30	GIOT:22|GIOT:31	WI5:22	MIPS:22	GO:0000074	6
2	470	EEF1B2	1933	477	EEF1G	1937	LacZ4	PMID:11985494	HPRD:21|HPRD:22|HPRD:31|Y2H:40	GIOT:11|GIOT:22	WI5:22|WI5:31	MIPS:11|MIPS:13|MIPS:31	GO:0006414	6
2	470	EEF1B2	1933	476	EEF1G	1937	LacZ4	Bdg:pos|PMID:11985494	HPRD:21|HPRD:22|HPRD:31|Y2H:40	GIOT:11|GIOT:22	WI5:22|WI5:31	MIPS:11|MIPS:13|MIPS:31	GO:0006414	6
2	476	EEF1G	1937	469	EEF1B2	1933	LacZ4	PMID:11985494	HPRD:21|HPRD:22|HPRD:31|Y2H:40	GIOT:11|GIOT:22	WI5:22|WI5:31	MIPS:11|MIPS:13|MIPS:31	GO:0006414	6
2	476	EEF1G	1937	470	EEF1B2	1933	LacZ4	Bdg:pos|PMID:11985494	HPRD:21|HPRD:22|HPRD:31|Y2H:40	GIOT:11|GIOT:22	WI5:22|WI5:31	MIPS:11|MIPS:13|MIPS:31	GO:0006414	6
2	478	EEF1G	1937	470	EEF1B2	1933	LacZ4	Bdg:pos|PMID:11985494	HPRD:21|HPRD:22|HPRD:31|Y2H:40	GIOT:11|GIOT:22	WI5:22|WI5:31	MIPS:11|MIPS:13|MIPS:31	GO:0006414	6
2	478	EEF1G	1937	469	EEF1B2	1933	LacZ4	PMID:11985494	HPRD:21|HPRD:22|HPRD:31|Y2H:40	GIOT:11|GIOT:22	WI5:22|WI5:31	MIPS:11|MIPS:13|MIPS:31	GO:0006414	6
3	471	EEF1D	1936	477	EEF1G	1937	LacZ4	PMID:10094407	HPRD:21|HPRD:22|HPRD:31|Y2H:40	GIOT:22|GIOT:31	WI5:22|WI5:31	MIPS:11|MIPS:13|MIPS:31	GO:0006414	6
3	472	EEF1D	1936	476	EEF1G	1937	LacZ4	PMID:10368288	HPRD:21|HPRD:22|HPRD:31|Y2H:40	GIOT:22|GIOT:31	WI5:22|WI5:31	MIPS:11|MIPS:13|MIPS:31	GO:0006414	6
3	472	EEF1D	1936	477	EEF1G	1937	LacZ4	PMID:10368288	HPRD:21|HPRD:22|HPRD:31|Y2H:40	GIOT:22|GIOT:31	WI5:22|WI5:31	MIPS:11|MIPS:13|MIPS:31	GO:0006414	6
