#EntrezGeneIDA	GeneSymbolA	EntrezGeneIDB	GeneSymbolB	Y2H
26003	GORASP2	81628	TSC22D4	+
9729	KIAA0408	55722	Cep72	+
56658	TRIM39	56658	TRIM39	+
7186	TRAF2	83461	CDCA3	+
9873	FCHSD2	339965	FLJ25770	+
84528	PEPP-2	114823	LENG8	+
4110	MAGEA11	92667	C20orf72	+
3866	KRT15	55388	MCM10	+
10241	NDP52	112858	TP53RK	+
665	BNIP3L	55816	DOK5	+
11007	DIPA	286301	MGC42630	+
55388	MCM10	80321	Cep70	+
3887	KRTHB1	79036	MGC2749	+
60	ACTB	1072	CFL1	+
11007	DIPA	58500	ZNF250	+
4005	LMO2	10982	MAPRE2	+
2130	EWSR1	56952	PRTFDC1	+
23650	TRIM29	84766	MGC4266	+
23059	CLUAP1	51550	CINP	+
1857	DVL3	8812	CCNK	+
28986	MAGEH1	64112	MOAP1	+
4110	MAGEA11	84708	LNX	+
23475	QPRT	83755	KRTAP4-12	+
1635	DCTD	84708	LNX	+
7431	VIM	151254	ALS2CR11	+
7186	TRAF2	84498	KIAA1838	+
22822	PHLDA1	83755	KRTAP4-12	+
57542	KLHDC5	83878	USHBP1	+
7186	TRAF2	7597	ZNF46	+
64769	FLJ11730	83746	L3MBTL2	+
9322	TRIP10	51729	WBP11	+
54925	ZNF434	54925	ZNF434	+
8241	RBM10	58155	PTBP2	+
10069	C21orf6	10912	GADD45G	+
1857	DVL3	85362	C20orf158	+
6783	SULT1E1	55068	FLJ10094	+
9883	POM121	10087	COL4A3BP	+
5359	PLSCR1	11052	CPSF6	+
9189	ZBED1	25876	C20orf28	+
3964	LGALS8	10241	NDP52	+
9802	DAZAP2	54165	RP42	+
373	TRIM23	26150	RIBC2	+
10241	NDP52	85302	FBF1	+
875	CBS	51534	C6orf55	+
8428	STK24	11235	PDCD10	+
9319	TRIP13	28970	PTD012	+
1054	CEBPG	4302	MLLT6	+
9146	HGS	23265	EXOC7	+
55663	FLJ20626	80345	ZNF435	+
11007	DIPA	284058	LOC284058	+
79036	MGC2749	81631	MAP1LC3B	+
2130	EWSR1	51304	ZDHHC3	+
468	ATF4	2874	GPS2	+
6303	SAT	84991	RBM17	+
7186	TRAF2	23219	FBXO28	+
4637	MYL6	11051	CPSF5	+
26150	RIBC2	84705	GTPBP3	+
4188	MDFI	55308	DDX19L	+
5584	PRKCI	50855	PARD6A	+
2130	EWSR1	9242	MSC	+
11030	RBPMS	55342	STRBP	+
10783	NEK6	11007	DIPA	+
7532	YWHAG	9729	KIAA0408	+
11030	RBPMS	113878	DTX2	+
9319	TRIP13	9721	KIAA0514	+
1838	DTNB	128229	SSTK-IP	+
9402	GRAP2	51043	ZBTB7B	+
11030	RBPMS	54472	TOLLIP	+
9616	RNF7	81618	ITM2C	+
5013	OTX1	83755	KRTAP4-12	+
9513	FXR2	10313	RTN3	+
5092	PCBD1	79873	FLJ22494	+
9874	TLK1	9874	TLK1	+
2130	EWSR1	283238	MGC34821	+
2992	GYG	2997	GYS1	+
2947	GSTM3	2947	GSTM3	+
5257	PHKB	54976	C20orf27	+
23475	QPRT	51684	SUFU	+
4598	MVK	4598	MVK	+
10363	HMG20A	54997	TSC	+
23265	EXOC7	79882	FLJ11806	+
8382	NME5	143241	LOC143241	+
50717	WDR42A	84705	GTPBP3	+
22899	ARHGEF15	25843	PREI3	+
311	ANXA11	5359	PLSCR1	+
8907	AP1M1	92610	TIFA	+
23099	ZNF297B	147687	ZNF417	+
23641	LDOC1	84708	LNX	+
1366	CLDN7	84528	PEPP-2	+
572	BAD	2810	SFN	+
10241	NDP52	79696	C14orf140	+
3190	HNRPK	55285	FLJ11016	+
7431	VIM	11143	MYST2	+
7431	VIM	84260	MGC10854	+
3198	HOXA1	4188	MDFI	+
10241	NDP52	164127	FLJ35728	+
26150	RIBC2	83878	USHBP1	+
5359	PLSCR1	51655	RASD1	+
25788	RAD54B	80125	FLJ32855	+
3866	KRT15	6602	SMARCD1	+
11007	DIPA	57326	PBXIP1	+
83878	USHBP1	143241	LOC143241	+
1856	DVL2	5092	PCBD1	+
11007	DIPA	55565	LOC55565	+
56474	CTPS2	56474	CTPS2	+
4188	MDFI	60496	AASDHPPT	+
11007	DIPA	60491	NIF3L1	+
329	BIRC2	4110	MAGEA11	+
8812	CCNK	81628	TSC22D4	+
1647	GADD45A	10540	DCTN2	+
54925	ZNF434	55663	FLJ20626	+
3854	KRT6B	3866	KRT15	+
11052	CPSF6	54826	FLJ20125	+
9883	POM121	10551	AGR2	+
54458	DKFZp564J157	59349	KLHL12	+
55274	PHF10	83746	L3MBTL2	+
4188	MDFI	9907	KIAA0415	+
7447	VSNL1	113878	DTX2	+
29085	PHPT1	29947	DNMT3L	+
4100	MAGEA1	54471	FLJ20232	+
8996	NOL3	8996	NOL3	+
4188	MDFI	8326	FZD9	+
373	TRIM23	373	TRIM23	+
51076	CUTC	84708	LNX	+
5092	PCBD1	5092	PCBD1	+
3190	HNRPK	26505	CNNM3	+
116225	ZMYND19	284352	LOC284352	+
11030	RBPMS	84445	LZTS2	+
23636	NUP62	53371	NUP54	+
54461	FBXW5	83755	KRTAP4-12	+
1912	PHC2	2275	FHL3	+
6945	MLX	11345	GABARAPL2	+
9055	PRC1	83878	USHBP1	+
56952	PRTFDC1	60491	NIF3L1	+
4830	NME1	55093	FLJ10204	+
5090	PBX3	57085	AGTRAP	+
9063	PIAS2	89797	NAV2	+
79173	MGC11271	148223	C19orf25	+
59349	KLHL12	59349	KLHL12	+
4735	2-Sep	9802	DAZAP2	+
9729	KIAA0408	10174	SCAM-1	+
26060	APPL	55198	DIP13B	+
8812	CCNK	11007	DIPA	+
1856	DVL2	8078	USP5	+
1407	CRY1	5359	PLSCR1	+
3216	HOXB6	6303	SAT	+
55093	FLJ10204	79077	XTP3TPA	+
54033	RBM11	84528	PEPP-2	+
2307	FKHL18	11030	RBPMS	+
80764	THAP7	541468	LOC541468	+
293	SLC25A6	5359	PLSCR1	+
2139	EYA2	63948	DMRTB1	+
4782	NFIC	84298	MGC14817	+
58500	ZNF250	151871	DPPA2	+
902	CCNH	10534	SSSCA1	+
3866	KRT15	5108	PCM1	+
26258	PLDN	51019	CGI-116	+
93487	C14orf32	93487	C14orf32	+
55726	C12orf11	79027	ZNF655	+
9482	STX8	10490	VTI1B	+
26086	GPSM1	339965	FLJ25770	+
9513	FXR2	386618	KCTD4	+
3099	HK2	29979	UBQLN1	+
60	ACTB	1073	CFL2	+
9802	DAZAP2	9802	DAZAP2	+
11007	DIPA	26152	ZNF337	+
4110	MAGEA11	54431	DNAJC10	+
5359	PLSCR1	25796	PGLS	+
55145	THAP1	138046	LOC138046	+
9513	FXR2	11030	RBPMS	+
5359	PLSCR1	113878	DTX2	+
8940	TOP3B	26511	CHIC2	+
1488	CTBP2	29994	BAZ2B	+
4110	MAGEA11	83463	MXD3	+
7329	UBE2I	93487	C14orf32	+
8985	PLOD3	11007	DIPA	+
10016	PDCD6	23593	HEBP2	+
4591	TRIM37	79843	FLJ22746	+
5721	PSME2	5721	PSME2	+
9802	DAZAP2	84970	MGC15882	+
5300	PIN1	7186	TRAF2	+
11007	DIPA	151254	ALS2CR11	+
26071	DKFZP564B147	29979	UBQLN1	+
4110	MAGEA11	9491	PSMF1	+
9265	PSCD3	10256	CNKSR1	+
7718	ZNF165	51224	TCEB3B	+
10241	NDP52	84708	LNX	+
22981	KIAA0980	220082	NURIT	+
23578	PEFLIN	79173	MGC11271	+
11228	C12orf2	122786	C14orf31	+
11007	DIPA	27018	NGFRAP1	+
2272	FHIT	2272	FHIT	+
8812	CCNK	54550	EFCBP2	+
23641	LDOC1	54540	FLJ10404	+
1856	DVL2	11201	POLI	+
9260	PDLIM7	9491	PSMF1	+
9802	DAZAP2	54855	FAM46C	+
2130	EWSR1	4542	MYO1F	+
11143	MYST2	80321	Cep70	+
26580	BSCL2	55266	TMEM19	+
4591	TRIM37	286514	MGC33889	+
2130	EWSR1	79036	MGC2749	+
2059	EPS8	26258	PLDN	+
9694	KIAA0103	10328	NOC4	+
8907	AP1M1	9513	FXR2	+
3983	ABLIM1	7431	VIM	+
26580	BSCL2	85027	NID67	+
7431	VIM	60491	NIF3L1	+
4801	NFYB	10589	DRAP1	+
3198	HOXA1	5359	PLSCR1	+
26258	PLDN	220134	C18orf24	+
23641	LDOC1	27343	POLL	+
1838	DTNB	23636	NUP62	+
4110	MAGEA11	51103	NDUFAF1	+
60	ACTB	60	ACTB	+
7718	ZNF165	11007	DIPA	+
79036	MGC2749	84984	MGC14126	+
27229	76P	57144	PAK7	+
6449	SGTA	6696	SPP1	+
58516	FAM60A	84705	GTPBP3	+
10445	MCRS1	79036	MGC2749	+
9093	DNAJA3	348487	FLJ36766	+
1725	DHPS	60491	NIF3L1	+
84313	MGC10540	84528	PEPP-2	+
11007	DIPA	170082	MGC17403	+
51562	MBIP	80254	Cep63	+
4591	TRIM37	51224	TCEB3B	+
54507	TSRC1	65989	EGFL9	+
55684	C9orf86	79173	MGC11271	+
51225	ABI3	84062	DTNBP1	+
7186	TRAF2	54532	USP53	+
4188	MDFI	79843	FLJ22746	+
1856	DVL2	80125	FLJ32855	+
10656	KHDRBS3	79797	ZNF408	+
80254	Cep63	83878	USHBP1	+
7157	TP53	286514	MGC33889	+
6637	SNRPG	115265	DDIT4L	+
4188	MDFI	494514	C18orf56	+
95	ACY1	7265	TTC1	+
22978	NT5C2	79873	FLJ22494	+
54474	KRT20	149371	EXOC8	+
9482	STX8	10488	CREB3	+
7329	UBE2I	147339	C18orf25	+
4782	NFIC	89882	NYD-SP25	+
6252	RTN1	84067	DKFZP566M1046	+
8436	SDPR	79873	FLJ22494	+
3183	HNRPC	3839	KPNA3	+
11059	WWP1	27332	ZNF638	+
1676	DFFA	54550	EFCBP2	+
55885	LMO3	138046	LOC138046	+
6871	TADA2L	149371	EXOC8	+
694	BTG1	9337	CNOT8	+
5359	PLSCR1	65989	EGFL9	+
6602	SMARCD1	11007	DIPA	+
3205	HOXA9	7205	TRIP6	+
5682	PSMA1	54550	EFCBP2	+
6733	SRPK2	11338	U2AF2	+
6924	TCEB3	22981	KIAA0980	+
11007	DIPA	23270	TSPYL4	+
5359	PLSCR1	6687	SPG7	+
10126	DNAL4	140735	Dlc2	+
5747	PTK2	8835	SOCS2	+
9779	TBC1D5	11345	GABARAPL2	+
26258	PLDN	79666	PLEKHF2	+
2874	GPS2	79173	MGC11271	+
9729	KIAA0408	56159	TEX11	+
1102	CHC1L	51138	COPS4	+
11007	DIPA	220136	CCDC11	+
163	AP2B1	9729	KIAA0408	+
27111	SDCBP2	79169	C1orf35	+
8985	PLOD3	84528	PEPP-2	+
10253	SPRY2	84767	TRIM51	+
11252	PACSIN2	29993	PACSIN1	+
7205	TRIP6	79843	FLJ22746	+
7186	TRAF2	55707	NECAP2	+
293	SLC25A6	83755	KRTAP4-12	+
11030	RBPMS	84872	FLJ14451	+
5991	RFX3	7186	TRAF2	+
8878	SQSTM1	11345	GABARAPL2	+
4591	TRIM37	27301	APEX2	+
6449	SGTA	50848	F11R	+
8379	MAD1L1	56159	TEX11	+
7257	TSNAX	10912	GADD45G	+
4188	MDFI	8227	DXYS155E	+
1649	DDIT3	51171	DHRS10	+
4302	MLLT6	51586	PCQAP	+
9632	SEC24C	10483	SEC23B	+
5300	PIN1	81628	TSC22D4	+
23062	GGA2	51324	SPG21	+
9802	DAZAP2	116071	MGC20410	+
4077	NBR1	51534	C6orf55	+
5049	PAFAH1B2	5050	PAFAH1B3	+
26150	RIBC2	57596	KIAA1446	+
3866	KRT15	11067	C10orf10	+
80125	FLJ32855	127557	ZBTB8	+
4188	MDFI	22893	BAHD1	+
3880	KRT19	9146	HGS	+
71	ACTG1	1073	CFL2	+
5152	PDE9A	22954	TRIM32	+
3839	KPNA3	26240	FAM50B	+
2130	EWSR1	202559	KHDRBS2	+
9402	GRAP2	79656	FLJ11588	+
9260	PDLIM7	57144	PAK7	+
373	TRIM23	80308	PP591	+
3927	LASP1	9319	TRIP13	+
26580	BSCL2	55850	MDS032	+
4188	MDFI	22943	DKK1	+
9391	WDR39	221016	CCDC7	+
10606	PAICS	79959	C18orf9	+
3875	KRT18	27229	76P	+
7518	XRCC4	25900	HOM-TES-103	+
5780	PTPN9	10313	RTN3	+
79637	ARMC7	253980	KCTD13	+
8227	DXYS155E	11007	DIPA	+
51324	SPG21	55122	C6orf166	+
79912	FLJ22028	139596	RP11-311P8.3	+
23281	KIAA0774	26150	RIBC2	+
51171	DHRS10	55093	FLJ10204	+
3880	KRT19	85359	DGCR6L	+
4188	MDFI	10148	EBI3	+
3927	LASP1	5359	PLSCR1	+
11063	SOX30	25805	BAMBI	+
1781	DNCI2	6990	TCTE1L	+
4848	CNOT2	4849	CNOT3	+
2010	EMD	89885	FATE1	+
