^Annotation
!Annotation_date = 05/18/2005 22:13:42
!Annotation_platform = GPL1223
!Annotation_platform_title =Arcturus 22k human oligonucleotide microarray
!Annotation_platform_organism = Homo sapiens
#ID =  Platform reference identifier
#Gene = Description field extracted from Entrez Gene
#Unigene = Cluster ID extracted from Entrez UniGene
#UniGene title = UniGene title extracted from Entrez UniGene
#Nucleotide = Title extracted from Entrez Nucleotide
#Protein = Title extracted from Entrez Protein
#GI = GenBank identifier(s)
#GenBank Accession = GenBank accession(s)
#Gene symbol = Gene name field extracted from Entrez Gene
#Platform_CLONEID = CLONE_ID column from GEO Platform data table
#Platform_ORF = ORF column from GEO Platform data table
#Platform_SPOTID = SPOT_ID column from GEO Platform data table
#Platform_SPACC = SP_ACC column from GEO Platform data table
#Platform_PTACC = PT_ACC column from GEO Platform data table
ID	Gene	Unigene	UniGene title	Nucleotide	Protein	GI	GenBank Accession	Gene symbol	Platform_CLONEID	Platform_ORF	Platform_SPOTID	Platform_SPACC	Platform_PTACC
!table_begin
2508	hypothetical protein LOC286505	Hs.211021	Hypothetical protein LOC286505			16550025	AK055321	LOC286505					
6459							AL136579						
16790	BCL2-like 14 (apoptosis facilitator)	Hs.549194	BCL2-like 14 (apoptosis facilitator)			12584086	AF281255	BCL2L14					
4210	p21 (CDKN1A)-activated kinase 2	Hs.518530	P21 (CDKN1A)-activated kinase 2			45827795	NM_002577	PAK2					
13392	golgi-specific brefeldin A resistance factor 1	Hs.290243	Golgi-specific brefeldin A resistance factor 1			10437825	AK025330	GBF1					
1575	testis-specific transcript, Y-linked 4	Hs.199774	Testis-specific transcript, Y-linked 4			13161099	AF332231	TTTY4					
9300	cleft lip and palate associated transmembrane protein 1	Hs.444441	Cleft lip and palate associated transmembrane protein 1			4063032	AF037339	CLPTM1					
5306		Hs.527364	Clone IMAGE:32106, mRNA sequence			13507352	AF339814						
4514		Hs.436980	Glutamate receptor, ionotropic, N-methyl D-aspartate 2C			9511966	BE466191	GRIN2C					
8664	elastin microfibril interfacer 1	Hs.63348	Elastin microfibril interfacer 1			14043092	BC007530	EMILIN1					
1645		Hs.515354	Myelin associated glycoprotein			1190051	N48885	MAG					
13828		Hs.54403	C-type lectin domain family 10, member A			6439495	AW173547	CLECSF14					
3944	growth hormone 1	Hs.500468	Growth hormone 1			5730477	AF110644	GH1					
500		Hs.293550	Hypothetical LOC388790			13325137	BC004382						
21226				qt82d08.x1 NCI_CGAP_Co14 Homo sapiens cDNA clone IMAGE:1961775 3', mRNA sequence		3920146	AI281913						
15545	hypothetical protein LOC286434	Hs.546700	Hypothetical protein LOC286434			7020580	AK000470	LOC286434					
6346		Hs.56186	EGF-like-domain, multiple 3			3700353	AI167183	EGFL3					
4381				601646342R2 NIH_MGC_60 Homo sapiens cDNA clone IMAGE:3930947 3', mRNA sequence		10885576	BF103050						
3385	tumor necrosis factor receptor superfamily, member 1B	Hs.256278	Tumor necrosis factor receptor superfamily, member 1B			189185	M32315	TNFRSF1B					
19553	bromodomain, testis-specific	Hs.482520	Bromodomain, testis-specific			2554914	AF019085	BRDT					
3300	KIAA1109					7243122	AB037792	KIAA1109					
6776		Hs.480400	B-cell scaffold protein with ankyrin repeats 1			2820182	AA768944	BANK1					
380	Rho-guanine nucleotide exchange factor	Hs.482521	Rho-guanine nucleotide exchange factor			10437992	AK025470	RGNEF					
16469				qx16h01.x1 NCI_CGAP_Lym12 Homo sapiens cDNA clone IMAGE:2001553 3' similar to gb:D90224 GLYCOPROTEIN GP34 (HUMAN);, mRNA sequence		4108741	AI357120						
19358		Hs.523760	Protein phosphatase 1, regulatory (inhibitor) subunit 14B			4648928	AI623997	PPP1R14B					
7981		Hs.487143	Chromosome 6 open reading frame 83			3173109	AA987745	C6orf83					
14283	THAP domain containing 9	Hs.409270	THAP domain containing 9			10439963	AK026973	THAP9					
8672	Huntingtin interacting protein C	Hs.33104	Huntingtin interacting protein C			6808037	AL137459	HYPC					
14902	E4F transcription factor 1	Hs.513268	E4F transcription factor 1			4185579	U87269	E4F1					
14329		Hs.18631	Ring finger protein 184			5452576	AI831905	FLJ10546					
389	survival of motor neuron 1, telomeric	Hs.202179	Survival of motor neuron 1, telomeric			15929773	BC015308	SMN1					
