^Annotation
!Annotation_date = 05/20/2005 15:03:40
!Annotation_platform = GPL91
!Annotation_platform_title =Affymetrix GeneChip Human Genome U95 Version 2 Set HG-U95A
!Annotation_platform_organism = Homo sapiens
#ID =  Platform reference identifier
#Gene = Description field extracted from Entrez Gene
#Unigene = Cluster ID extracted from Entrez UniGene
#UniGene title = UniGene title extracted from Entrez UniGene
#Nucleotide = Title extracted from Entrez Nucleotide
#Protein = Title extracted from Entrez Protein
#GI = GenBank identifier(s)
#GenBank Accession = GenBank accession(s)
#Gene symbol = Gene name field extracted from Entrez Gene
#Platform_CLONEID = CLONE_ID column from GEO Platform data table
#Platform_ORF = ORF column from GEO Platform data table
#Platform_SPOTID = SPOT_ID column from GEO Platform data table
#Platform_SPACC = SP_ACC column from GEO Platform data table
#Platform_PTACC = PT_ACC column from GEO Platform data table
ID	Gene	Unigene	UniGene title	Nucleotide	Protein	GI	GenBank Accession	Gene symbol	Platform_CLONEID	Platform_ORF	Platform_SPOTID	Platform_SPACC	Platform_PTACC
!table_begin
31307_at	pre-T/NK cell associated protein					306322	L17325	1D12A					
31308_at	chromosome 15 open reading frame 31					306436	L17330	C15orf31					
31309_r_at				Human breast cancer suppressor element Ishmael Upper CP1 mRNA, partial cds		1224126	U50277						
31310_at	glycine receptor, alpha 1 (startle disease/hyperekplexia, stiff man syndrome)	Hs.121490	Glycine receptor, alpha 1 (startle disease/hyperekplexia, stiff man syndrome)			31850	X52009	GLRA1					
31311_at		Hs.121492	Vd7 gene for T-cell receptor V-delta-7			33508	X61070						
31312_at	potassium voltage-gated channel, Shab-related subfamily, member 2	Hs.6702	Potassium voltage-gated channel, Shab-related subfamily, member 2			1546838	U69962	KCNB2					
31313_at	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase	Hs.115903	Mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase			469489	D17716	MGAT5					
31314_at	bone morphogenetic protein 3 (osteogenic)	Hs.121507	Bone morphogenetic protein 3 (osteogenic)			179505	M22491	BMP3					
31315_at		Hs.449585	Immunoglobulin lambda variable 3-21			1255613	D84143	IGLC2					
31316_at	ATPase, H+ transporting, lysosomal 70kD, V1 subunit A, isoform 2					291865	L09234	ATP6V1A2					
31317_r_at		Hs.112610	Active Ig mu-chain mRNA V-region (VDJ), 5' end, clone mu-11-8.			185160	M21388						
31318_at		Hs.1048	KIT ligand			1246099	S80491	KITLG					
31319_at	immunoglobulin kappa variable 2/OR22-4					185954	M20707	IGKV2OR22-4					
31320_at	G protein-coupled receptor 12					604499	U18548	GPR12					
31321_at				Mesocricetus auratus pancreatic beta cell growth factor (INGAP) mRNA, complete cds		1514681	U41737						
31322_at		Hs.546379	T cell receptor alpha chain			33521	X61079						
31323_r_at				Homo sapiens HBGT mRNA, partial sequence		1911635	S83374						
31324_at		Hs.444957	ATPase, aminophospholipid transporter-like, Class I, type 8A, member 2			1938329	U82303	ATP8A2					
31325_at		Hs.550143	Unknown protein			1938333	U82306						
31326_at		Hs.547272	Skin-specific protein (xp32)			2589189	AF005081						
31327_at		Hs.535413	Rheumatoid arthritis synovium immunoglobulin heavy chain variable region			2599349	AF015124						
31328_at	solute carrier family 34 (sodium phosphate), member 1	Hs.936	Solute carrier family 34 (sodium phosphate), member 1			292349	L13258	SLC34A1					
31329_at				Human putative opioid receptor mRNA, complete cds		189391	M84605						
31330_at	ribosomal protein S19	Hs.438429	Ribosomal protein S19			337732	M81757	RPS19					
31331_at	surfactant protein A binding protein					402149	L10123	SPAR					
31332_at				Homo sapiens RIG-like 14-1 mRNA, complete cds		2724103	AF034207						
31333_at	tolloid-like 1	Hs.106513	Tolloid-like 1			2735326	U91963	TLL1					
31334_at	G protein-coupled receptor 45	Hs.129701	G protein-coupled receptor 45			2735350	U92642	GPR45					
31335_at	insulin-like growth factor 1 receptor	Hs.20573	Insulin-like growth factor 1 receptor			2738928	AF020763	IGF1R					
31336_at	vomeronasal 1 receptor 1					2822142	AC004076	VN1R1					
31337_at	gonadotropin-releasing hormone 2					2833652	AF036329	GNRH2					
31338_at	chromosome 10 open reading frame 28	Hs.419800	Chromosome 10 open reading frame 28			2961554	AF050198	C10orf28					
31339_at	protease inhibitor 15	Hs.98558	Protease inhibitor 15			2943715	D45027	PI15					
31340_at	matrix metalloproteinase 20 (enamelysin)	Hs.302383	Matrix metalloproteinase 20 (enamelysin)			3005945	Y12779	MMP20					
31341_at	potassium voltage-gated channel, Shaw-related subfamily, member 3	Hs.467146	Potassium voltage-gated channel, Shaw-related subfamily, member 3			3249578	AF055989	KCNC3					
31342_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2)	Hs.300834	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2)			971460	X85019	GALNT2					
31343_at	interleukin 1 receptor antagonist	Hs.81134	Interleukin 1 receptor antagonist			3115205	AJ005835	IL1RN					
31344_at		Hs.535668	Immunoglobulin lambda variable 6-57			3142513	AF063725	IGLV6-57					
31345_at	transmembrane protease, serine 11D	Hs.132195	Transmembrane protease, serine 11D			3184183	AB002134	TMPRSS11D					
31346_at	double homeobox, 1	Hs.274469	Double homeobox, 1			3171915	AJ001481	DUX1					
31347_at		Hs.449585	Immunoglobulin lambda variable 3-21			3093897	AF058075	IGLC2					
31348_at	replication factor C (activator 1) 1, 145kDa					438046	X75917	RFC1					
31349_at	pro-platelet basic protein-like 2	Hs.3134	Pro-platelet basic protein-like 2			860726	L10403	PPBPL2					
31350_at	olfactory receptor, family 10, subfamily H, member 2					3068558	AC004597	OR10H2					
31351_at				H.sapiens synthetic gene for platelet-derived growth factor-BB		311378	X63966						
31352_at	ribonuclease, RNase A family, 1 (pancreatic)					1087118	S79281	RNASE1					
31353_f_at	forkhead box E1 (thyroid transcription factor 2)					1770431	X94553	FOXE1					
31354_r_at	forkhead box E1 (thyroid transcription factor 2)					1770431	X94553	FOXE1					
31355_at	achaete-scute complex-like 2 (Drosophila)					2642464	U77629	ASCL2					
31356_at		Hs.479066	Multiple coiled-coil GABABR1-binding protein			1307548	W27600	MARLIN1					
31357_at		Hs.116448	Glutaminase			1306625	W26214	GLS					
31358_at				22e5 Human retina cDNA randomly primed sublibrary Homo sapiens cDNA, mRNA sequence		1306639	W26228						
31359_at		Hs.464572	NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa			1306664	W27130	NDUFV2					
31360_at				26b9 Human retina cDNA randomly primed sublibrary Homo sapiens cDNA, mRNA sequence		1306898	W26343						
31361_at				32e11 Human retina cDNA randomly primed sublibrary Homo sapiens cDNA, mRNA sequence		1307360	W27556						
31362_at				34a12 Human retina cDNA randomly primed sublibrary Homo sapiens cDNA, mRNA sequence		1307469	W26626						
