^Annotation
!Annotation_date = 05/18/2005 15:15:04
!Annotation_platform = GPL771
!Annotation_platform_title =Rosetta (Merck) Human 50k array
!Annotation_platform_organism = Homo sapiens
#ID =  Platform reference identifier
#Gene = Description field extracted from Entrez Gene
#Unigene = Cluster ID extracted from Entrez UniGene
#UniGene title = UniGene title extracted from Entrez UniGene
#Nucleotide = Title extracted from Entrez Nucleotide
#Protein = Title extracted from Entrez Protein
#GI = GenBank identifier(s)
#GenBank Accession = GenBank accession(s)
#Gene symbol = Gene name field extracted from Entrez Gene
#Platform_CLONEID = CLONE_ID column from GEO Platform data table
#Platform_ORF = ORF column from GEO Platform data table
#Platform_SPOTID = SPOT_ID column from GEO Platform data table
#Platform_SPACC = SP_ACC column from GEO Platform data table
#Platform_PTACC = PT_ACC column from GEO Platform data table
ID	Gene	Unigene	UniGene title	Nucleotide	Protein	GI	GenBank Accession	Gene symbol	Platform_CLONEID	Platform_ORF	Platform_SPOTID	Platform_SPACC	Platform_PTACC
!table_begin
1143560	N-acetyltransferase 2 (arylamine N-acetyltransferase)	Hs.2	N-acetyltransferase 2 (arylamine N-acetyltransferase)			219411	D90040	NAT2					
1144098	alcohol dehydrogenase IB (class I), beta polypeptide	Hs.4	Alcohol dehydrogenase IB (class I), beta polypeptide			28415	X03350	ADH1B					
1143564	carcinoembryonic antigen-related cell adhesion molecule 3	Hs.11	Carcinoembryonic antigen-related cell adhesion molecule 3			219536	D90278	CEACAM3					
1142102		Hs.12	Carcinoembryonic antigen-related cell adhesion molecule 4			3837502	AI242105	CEACAM4					
1143714	elastase 2A	Hs.21	Elastase 2A			182057	M16652	ELA2A					
1143799	transglutaminase 1 (K polypeptide epidermal type I, protein-glutamine-gamma-glutamyltransferase)	Hs.508950	Transglutaminase 1 (K polypeptide epidermal type I, protein-glutamine-gamma-glutamyltransferase)			339603	M62925	TGM1					
1143481				Homo sapiens mRNA for F1 beta subunit, complete cds		219653	D00022						
1166641		Hs.465221	Ferrochelatase (protoporphyria)			3701828	AI168658	FECH					
1339612	glycine dehydrogenase (decarboxylating; glycine decarboxylase, glycine cleavage system protein P)	Hs.149156	Glycine dehydrogenase (decarboxylating; glycine decarboxylase, glycine cleavage system protein P)			190208	M64590	GLDC					
1143484	membrane-spanning 4-domains, subfamily A, member 2 (Fc fragment of IgE, high affinity I, receptor for; beta polypeptide)	Hs.386748	Membrane-spanning 4-domains, subfamily A, member 2 (Fc fragment of IgE, high affinity I, receptor for; beta polypeptide)			219881	D10583	MS4A2					
1143804	protein tyrosine phosphatase, non-receptor type 7	Hs.402773	Protein tyrosine phosphatase, non-receptor type 7			187227	M64322	PTPN7					
1010454	lymphotoxin alpha (TNF superfamily, member 1)	Hs.36	Lymphotoxin alpha (TNF superfamily, member 1)			219911	D12614	LTA					
1010925	acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase)	Hs.232375	Acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase)			219917	D90228	ACAT1					
1143561	carcinoembryonic antigen-related cell adhesion molecule 8	Hs.41	Carcinoembryonic antigen-related cell adhesion molecule 8			219935	D90064	CEACAM8					
1141183				Artificial construct HPoc-Hosf-1 transgene for osteoblast stimulating factor-1, complete cds		18642488	AB004306						
1010425	platelet-activating factor receptor	Hs.46	Platelet-activating factor receptor			219975	D10202	PTAFR					
1143490	macrophage scavenger receptor 1	Hs.446291	Macrophage scavenger receptor 1			220058	D13264	MSR1					
1143486	phosphatidylinositol glycan, class A (paroxysmal nocturnal hemoglobinuria)	Hs.137154	Phosphatidylinositol glycan, class A (paroxysmal nocturnal hemoglobinuria)			219993	D11466	PIGA					
1143482	phosphoribosyl pyrophosphate synthetase 1	Hs.56	Phosphoribosyl pyrophosphate synthetase 1			220019	D00860	PRPS1					
1143844	protein tyrosine phosphatase, non-receptor type 12	Hs.61812	Protein tyrosine phosphatase, non-receptor type 12			292408	M93425	PTPN12					
1143483	succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	Hs.465924	Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)			220069	D10245	SDHB					
1010460	interleukin 1 receptor-like 1	Hs.66	Interleukin 1 receptor-like 1			220076	D12763	IL1RL1					
1132185	alpha-2-glycoprotein 1, zinc	Hs.546239	Alpha-2-glycoprotein 1, zinc			38025	X59766	AZGP1					
1132547	GA binding protein transcription factor, alpha subunit 60kDa	Hs.473470	GA binding protein transcription factor, alpha subunit 60kDa			531892	U13044	GABPA					
1172454		Hs.420796	Hypothetical protein MGC15429			4070639	AI334080	MGC15429					
1010445	interleukin 2 receptor, gamma (severe combined immunodeficiency)	Hs.84	Interleukin 2 receptor, gamma (severe combined immunodeficiency)			303611	D11086	IL2RG					
1174368				ti75e09.x1 NCI_CGAP_Kid11 Homo sapiens cDNA clone IMAGE:2137864 3' similar to contains Alu repetitive element;contains LTR4 repetitive element ;, mRNA sequence		4452296	AI538161						
1011362	DnaJ (Hsp40) homolog, subfamily A, member 1	Hs.445203	DnaJ (Hsp40) homolog, subfamily A, member 1			306713	L08069	DNAJA1					
1143562	phorbol-12-myristate-13-acetate-induced protein 1	Hs.96	Phorbol-12-myristate-13-acetate-induced protein 1			219475	D90070	PMAIP1					
1132227	aminomethyltransferase (glycine cleavage system protein T)	Hs.102	Aminomethyltransferase (glycine cleavage system protein T)			391720	D13811	AMT					
1010486	HGF activator	Hs.104	HGF activator			219680	D14012	HGFAC					
1143634	glutamate receptor, ionotropic, N-methyl D-aspartate 1	Hs.495496	Glutamate receptor, ionotropic, N-methyl D-aspartate 1			292282	L13266	GRIN1					
1131921	fibrinogen-like 1	Hs.491143	Fibrinogen-like 1			393314	D14446	FGL1					
1143592	dipeptidase 1 (renal)	Hs.109	Dipeptidase 1 (renal)			598188	J05257	DPEP1					
1141208	prolyl endopeptidase-like	Hs.549585	Prolyl endopeptidase-like			2662152	AB007896	PREPL					
1341421		Hs.197018	CDNA FLJ38252 fis, clone FCBBF3000269			3174766	AA989402						
1343314		Hs.276808	Mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase			1190922	N49756	MGAT3					
1143613	epoxide hydrolase 2, cytoplasmic	Hs.212088	Epoxide hydrolase 2, cytoplasmic			181394	L05779	EPHX2					
1350569		Hs.446091	Wilms tumor 1 associated protein			983999	R98339	WTAP					
1132222	peroxiredoxin 6	Hs.120	Peroxiredoxin 6			285948	D14662	PRDX6					
1143499	MAD2L1 binding protein	Hs.122346	MAD2L1 binding protein			285966	D14811	MAD2L1BP					
1143644	cholecystokinin A receptor	Hs.129	Cholecystokinin A receptor			306595	L19315	CCKAR					
1143650	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1	Hs.142	Sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1			307342	L19999	SULT1A1					
1011322	cAMP responsive element binding protein 5	Hs.437075	CAMP responsive element binding protein 5			181049	L05515	CREB5					
1177293		Hs.421257	Ribosomal protein L7			3919435	AI281202	RPL7					
1143808	Kell blood group	Hs.368588	Kell blood group			16975479	M64934	KEL					
1012052	tumor necrosis factor receptor superfamily, member 1A	Hs.279594	Tumor necrosis factor receptor superfamily, member 1A			339744	M33294	TNFRSF1A					
1143855	cadherin 2, type 1, N-cadherin (neuronal)	Hs.464829	Cadherin 2, type 1, N-cadherin (neuronal)			253482	S42303	CDH2					
1177821		Hs.438102	Insulin-like growth factor binding protein 2, 36kDa			4391208	AI499226	IGFBP2					
1143878	glucagon-like peptide 1 receptor	Hs.389103	Glucagon-like peptide 1 receptor			684918	U01157	GLP1R					
1170144		Hs.190284	Smith-Magenis syndrome chromosome region, candidate 6			4218264	AJ230799	SREBF1					
