^Annotation
!Annotation_date = 05/20/2005 09:49:12
!Annotation_platform = GPL271
!Annotation_platform_title =LC-17
!Annotation_platform_organism = Homo sapiens
#ID =  Platform reference identifier
#Gene = Description field extracted from Entrez Gene
#Unigene = Cluster ID extracted from Entrez UniGene
#UniGene title = UniGene title extracted from Entrez UniGene
#Nucleotide = Title extracted from Entrez Nucleotide
#Protein = Title extracted from Entrez Protein
#GI = GenBank identifier(s)
#GenBank Accession = GenBank accession(s)
#Gene symbol = Gene name field extracted from Entrez Gene
#Platform_CLONEID = CLONE_ID column from GEO Platform data table
#Platform_ORF = ORF column from GEO Platform data table
#Platform_SPOTID = SPOT_ID column from GEO Platform data table
#Platform_SPACC = SP_ACC column from GEO Platform data table
#Platform_PTACC = PT_ACC column from GEO Platform data table
ID	Gene	Unigene	UniGene title	Nucleotide	Protein	GI	GenBank Accession	Gene symbol	Platform_CLONEID	Platform_ORF	Platform_SPOTID	Platform_SPACC	Platform_PTACC
!table_begin
1		Hs.2250	Leukemia inhibitory factor (cholinergic differentiation factor)			1331099	W46451	LIF	IMAGE:324039				
2		Hs.156000	Zinc finger protein 161 homolog (mouse)			1211970	N64141	ZFP161	IMAGE:285742				
3		Hs.491577	MYST histone acetyltransferase (monocytic leukemia) 3			770749	R17139	MYST3	IMAGE:31887				
4				yh09a04.r1 Soares infant brain 1NIB Homo sapiens cDNA clone IMAGE:42402 5', mRNA sequence		831645	R60950		IMAGE:42402				
5		Hs.511367	Cytochrome P450, family 19, subfamily A, polypeptide 1			856713	R80432	CYP19A1	IMAGE:146768				
6		Hs.526464	Promyelocytic leukemia			824591	R55296	PML	IMAGE:154763				
7		Hs.13155	Integrin, beta 5			988725	H48885	ITGB5	IMAGE:202074				
8		Hs.167700	SMAD, mothers against DPP homolog 5 (Drosophila)			1046692	H73190	SMAD5	IMAGE:214636				
9		Hs.436429	Protein tyrosine phosphatase, non-receptor type 3			2669965	AA682684	PTPN3	IMAGE:461804				
10		Hs.446529	Guanylate cyclase activator 1B (retina)			2158981	AA446316	GUCA1B	IMAGE:781233				
11		Hs.75835	Phosphomannomutase 1			1728478	AA156863	PMM1	IMAGE:502499				
12		Hs.1892	Phenylethanolamine N-methyltransferase			1211021	N63192	PNMT	IMAGE:289857				
13		Hs.25647	V-fos FBJ murine osteosarcoma viral oncogene homolog			2214596	AA485377	FOS	IMAGE:811015				
14		Hs.10441	Nuclear transcription factor Y, alpha			2063422	AA405063	NFYA	IMAGE:731648				
15		Hs.46732	Monoamine oxidase B			2669704	AA682423	MAOB	IMAGE:462953				
16		Hs.296049	Microfibrillar-associated protein 4			2154573	AA442695	MFAP4	IMAGE:759163				
17		Hs.80305	Rho GTPase activating protein 19			2106442	AA425722	ARHGAP19	IMAGE:773373				
18		Hs.465061	SMAD, mothers against DPP homolog 2 (Drosophila)			1188265	N47099	SMAD2	IMAGE:280356				
19		Hs.298023	Aquaporin 5			2229860	AA496539	AQP5	IMAGE:755881				
20		Hs.33446	Nuclear receptor subfamily 5, group A, member 2			1203005	N59115	NR5A2	IMAGE:246872				
21		Hs.190284	Smith-Magenis syndrome chromosome region, candidate 6			2107643	AA425823	SREBF1	IMAGE:769571				
22		Hs.509622	Ral guanine nucleotide dissociation stimulator-like 2			2056031	AA401972	RGL2	IMAGE:741891				
23		Hs.234521	Mitogen-activated protein kinase-activated protein kinase 3			1377169	W68280	MAPKAPK3	IMAGE:342647				
24		Hs.546821	Isolate RA129-G5-3.fa immunoglobulin heavy chain variable region			2617972	AA663981		IMAGE:855745				
25		Hs.443029	NACHT, leucine rich repeat and PYD containing 9			1894240	AA258245	NALP9	IMAGE:687006				
26		Hs.292356	Cytochrome b-245, beta polypeptide (chronic granulomatous disease)			1894103	AA258768	CYBB	IMAGE:687085				
27		Hs.137427	Interferon regulatory factor 8			1894422	AA257990	IRF8	IMAGE:687229				
28				zs44f01.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:700345 3', mRNA sequence		1927947	AA283735		IMAGE:700345				
29				zs45f08.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:700455 5', mRNA sequence		1939013	AA291035		IMAGE:700455				
30				zs46a04.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:700494 3', mRNA sequence		1939121	AA291066		IMAGE:700494				
31				zs47c09.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:700624 5' similar to TR:G971166 G971166 FSA-1 ;, mRNA sequence		1939199	AA291221		IMAGE:700624				
32		Hs.511010	RAS guanyl releasing protein 1 (calcium and DAG-regulated)			1928180	AA283882	RASGRP1	IMAGE:700666				
33		Hs.494538	Patched homolog (Drosophila)			1748232	AA169807	PTCH	IMAGE:594540				
34		Hs.522795	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6			1860637	AA236617	ARHGEF6	IMAGE:687990				
35		Hs.67928	E74-like factor 3 (ets domain transcription factor, epithelial-specific )			2138765	AA433851	ELF3	IMAGE:770910				
36		Hs.160673	Ras homolog gene family, member H			1443600	N90273	RHOH	IMAGE:302591				
37		Hs.440475	Succinate dehydrogenase complex, subunit A, flavoprotein (Fp)			681191	T70043	SDHA	IMAGE:80915				
38		Hs.517601	Ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)			2261775	AA521232	RAC2	IMAGE:827132				
