^Annotation
!Annotation_date = 05/20/2005 14:47:17
!Annotation_platform = GPL96
!Annotation_platform_title =Affymetrix GeneChip Human Genome U133 Array Set  HG-U133A
!Annotation_platform_organism = Homo sapiens
#ID =  Platform reference identifier
#Gene = Description field extracted from Entrez Gene
#Unigene = Cluster ID extracted from Entrez UniGene
#UniGene title = UniGene title extracted from Entrez UniGene
#Nucleotide = Title extracted from Entrez Nucleotide
#Protein = Title extracted from Entrez Protein
#GI = GenBank identifier(s)
#GenBank Accession = GenBank accession(s)
#Gene symbol = Gene name field extracted from Entrez Gene
#Platform_CLONEID = CLONE_ID column from GEO Platform data table
#Platform_ORF = ORF column from GEO Platform data table
#Platform_SPOTID = SPOT_ID column from GEO Platform data table
#Platform_SPACC = SP_ACC column from GEO Platform data table
#Platform_PTACC = PT_ACC column from GEO Platform data table
ID	Gene	Unigene	UniGene title	Nucleotide	Protein	GI	GenBank Accession	Gene symbol	Platform_CLONEID	Platform_ORF	Platform_SPOTID	Platform_SPACC	Platform_PTACC
!table_begin
1007_s_at	discoidin domain receptor family, member 1					1753221	U48705	DDR1					
1053_at	replication factor C (activator 1) 2, 40kDa					1590810	M87338	RFC2					
117_at	heat shock 70kDa protein 6 (HSP70B')					35221	X51757	HSPA6					
121_at	paired box gene 8	Hs.469728	Paired box gene 8			38425	X69699	PAX8					
1255_g_at	guanylate cyclase activator 1A (retina)					623404	L36861	GUCA1A					
1294_at	ubiquitin-activating enzyme E1-like	Hs.16695	Ubiquitin-activating enzyme E1-like			520832	L13852	UBE1L					
1316_at	thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)	Hs.724	Thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)			29878	X55005	THRA					
1320_at	protein tyrosine phosphatase, non-receptor type 21	Hs.437040	Protein tyrosine phosphatase, non-receptor type 21			532055	X79510	PTPN21					
1405_i_at	chemokine (C-C motif) ligand 5	Hs.514821	Chemokine (C-C motif) ligand 5			339420	M21121	CCL5					
1431_at	cytochrome P450, family 2, subfamily E, polypeptide 1					181355	J02843	CYP2E1					
1438_at	EPH receptor B3	Hs.2913	EPH receptor B3			406867	X75208	EPHB3					
1487_at	estrogen-related receptor alpha	Hs.110849	Estrogen-related receptor alpha			1239956	L38487	ESRRA					
1494_f_at	cytochrome P450, family 2, subfamily A, polypeptide 6	Hs.439056	Cytochrome P450, family 2, subfamily A, polypeptide 6			180986	M33318	CYP2A6					
1598_g_at	growth arrest-specific 6	Hs.369201	Growth arrest-specific 6			401766	L13720	GAS6					
160020_at	matrix metalloproteinase 14 (membrane-inserted)	Hs.2399	Matrix metalloproteinase 14 (membrane-inserted)			963053	Z48481	MMP14					
1729_at	TNFRSF1A-associated via death domain	Hs.460996	TNFRSF1A-associated via death domain			808914	L41690	TRADD					
1773_at	farnesyltransferase, CAAX box, beta	Hs.509651	Farnesyltransferase, CAAX box, beta			292032	L00635	FNTB					
177_at	phospholipase D1, phophatidylcholine-specific	Hs.478230	Phospholipase D1, phophatidylcholine-specific			1185462	U38545	PLD1					
179_at	postmeiotic segregation increased 2-like 11					1061425	U38980	PMS2L11					
1861_at	BCL2-antagonist of cell death	Hs.370254	BCL2-antagonist of cell death			1683636	U66879	BAD					
200000_s_at	PRP8 pre-mRNA processing factor 8 homolog (yeast)	Hs.181368	PRP8 pre-mRNA processing factor 8 homolog (yeast)			17999536	NM_006445	PRPF8					
200001_at	calpain, small subunit 1	Hs.515371	Calpain, small subunit 1			51599152	NM_001749	CAPNS1					
200002_at	ribosomal protein L35	Hs.182825	Ribosomal protein L35			16117792	NM_007209	RPL35					
200003_s_at	ribosomal protein L28	Hs.356371	Ribosomal protein L28			34486095	NM_000991	RPL28					
200004_at	eukaryotic translation initiation factor 4 gamma, 2	Hs.183684	Eukaryotic translation initiation factor 4 gamma, 2			4503538	NM_001418	EIF4G2					
