^Annotation
!Annotation_date = 05/18/2005 16:10:54
!Annotation_platform = GPL962
!Annotation_platform_title =CHUGAI 41K
!Annotation_platform_organism = Homo sapiens
#ID =  Platform reference identifier
#Gene = Description field extracted from Entrez Gene
#Unigene = Cluster ID extracted from Entrez UniGene
#UniGene title = UniGene title extracted from Entrez UniGene
#Nucleotide = Title extracted from Entrez Nucleotide
#Protein = Title extracted from Entrez Protein
#GI = GenBank identifier(s)
#GenBank Accession = GenBank accession(s)
#Gene symbol = Gene name field extracted from Entrez Gene
#Platform_CLONEID = CLONE_ID column from GEO Platform data table
#Platform_ORF = ORF column from GEO Platform data table
#Platform_SPOTID = SPOT_ID column from GEO Platform data table
#Platform_SPACC = SP_ACC column from GEO Platform data table
#Platform_PTACC = PT_ACC column from GEO Platform data table
ID	Gene	Unigene	UniGene title	Nucleotide	Protein	GI	GenBank Accession	Gene symbol	Platform_CLONEID	Platform_ORF	Platform_SPOTID	Platform_SPACC	Platform_PTACC
!table_begin
1		Hs.472831	Protein kinase (cAMP-dependent, catalytic) inhibitor gamma			3917713	AI279479	PKIG					
2		Hs.143961	Chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)			3778773	AI215172	CCL18					
3				qm33g01.x1 NCI_CGAP_Lu5 Homo sapiens cDNA clone IMAGE:1883664 3', mRNA sequence		3785867	AI216826						
4				qm42b11.x1 NCI_CGAP_Lu5 Homo sapiens cDNA clone IMAGE:1884477 3' similar to contains element L1 repetitive element ;, mRNA sequence		3785617	AI216576						
5				qn32f04.x1 NCI_CGAP_Kid5 Homo sapiens cDNA clone IMAGE:1899967 3' similar to contains MER10.t2 MER10 repetitive element ;, mRNA sequence		3932875	AI289851						
6		Hs.371147	Thrombospondin 2			3960832	AI301486	THBS2					
7		Hs.136982	FLJ42289 protein			3961738	AI302392	FLJ42289					
8		Hs.459790	Vacuolar protein sorting 13A (yeast)			3960445	AI301099	VPS13A					
9		Hs.375707	Coiled-coil-helix-coiled-coil-helix domain containing 5			3989492	AI306421	CHCHD5					
10				qn45d11.x1 NCI_CGAP_Kid5 Homo sapiens cDNA clone IMAGE:1901205 3' similar to SW:NED8_HUMAN Q15843 UBIQUITIN-LIKE PROTEIN NEDD8. ;, mRNA sequence		3960665	AI301319						
11		Hs.122082	Dimethylglycine dehydrogenase			3962342	AI302996	DMGDH					
12		Hs.346947	Hypothetical protein FLJ37464			3961643	AI302297	FLJ37464					
13				qp61d03.x1 NCI_CGAP_Co8 Homo sapiens cDNA clone IMAGE:1927493 3' similar to TR:Q13539 Q13539 MARINER TRANSPOSASE. ;, mRNA sequence		4085228	AI348022						
14		Hs.14794	Zinc finger protein 28 homolog (mouse)			4070726	AI334167	ZFP28					
15		Hs.489646	Laminin, beta 1			4069918	AI333359	LAMB1					
16				qq12f03.x1 Soares_NhHMPu_S1 Homo sapiens cDNA clone IMAGE:1932317 3', mRNA sequence		3884359	AI266201						
17		Hs.293411	Adaptor-related protein complex 4, sigma 1 subunit			4086567	AI349361	AP4S1					
18				qp97b12.x1 Soares_fetal_lung_NbHL19W Homo sapiens cDNA clone IMAGE:1930943 3', mRNA sequence		4070656	AI334097						
19		Hs.471917	Proteasome (prosome, macropain) inhibitor subunit 1 (PI31)			4069425	AI332866	PSMF1					
20		Hs.124597	Transcribed locus			4070917	AI334358						
21	EPH receptor A1	Hs.89839	EPH receptor A1			339716	M18391	EPHA1					
22	major histocompatibility complex, class II, DR beta 1	Hs.520049	Major histocompatibility complex, class II, DR beta 4			188240	M33600	HLA-DRB1					
23	retinol binding protein 4, plasma	Hs.50223	Retinol binding protein 4, plasma			35896	X00129	RBP4					
24	thymosin, beta 10	Hs.446574	Thymosin, beta 10			264772	S54005	TMSB10					
25	cellular retinoic acid binding protein 2					181028	M97815	CRABP2					
26	mucin 3A, intestinal	Hs.489354	Mucin 3A, intestinal			2853300	AF007194	MUC3A					
27	melanoma inhibitory activity					3927997	X84707	MIA					
28	MHC class II transactivator	Hs.126714	MHC class II transactivator			836908	U18259	MHC2TA					
29		Hs.7753	Calumenin			2026291	AA373737	CALU					
30		Hs.534377	Claudin 10			3802199	AI219996	CLDN10					
31		Hs.148998	Transcribed locus			3838540	AI243143						
32		Hs.535820	Chromosome 6 open reading frame 198			3834888	AI239491	C6orf198					
33				qh39d12.x1 Soares_NFL_T_GBC_S1 Homo sapiens cDNA clone IMAGE:1847063 3', mRNA sequence		3835456	AI240059						
34		Hs.149020	Transcribed locus, weakly similar to XP_510104.1 similar to hypothetical protein FLJ25224 [Pan troglodytes]			3838697	AI243300						
35				qh35f03.x1 Soares_NFL_T_GBC_S1 Homo sapiens cDNA clone IMAGE:1846685 3', mRNA sequence		3838661	AI243264						
36		Hs.433736	Transcribed locus, strongly similar to NP_990790.1 smooth muscle myosin light chain kinase (61-kDa active fragment) [Gallus gallus]			3835066	AI239669						
37		Hs.148830	Transcribed locus			3835553	AI240156						
38		Hs.130957	Hypothetical protein FLJ25756			3838722	AI243325	FLJ25756					
39				qh89e12.x1 Soares_NFL_T_GBC_S1 Homo sapiens cDNA clone IMAGE:1854190 3' similar to TR:O02711 O02711 PRO-POL-DUTPASE POLYPROTEIN ;, mRNA sequence		3839246	AI243849						
40		Hs.130767	Hypothetical gene MGC16309			3849288	AI252759	MGC16309					
41		Hs.144783	Transcribed locus			3921725	AI283492						
42		Hs.195058	KIAA0828 protein			3924202	AI285969	KIAA0828					
43		Hs.120855	KIAA0960 protein			3918190	AI279957	KIAA0960					
44		Hs.525307	C-type lectin domain family 14, member A			3837538	AI242141	C14orf27					
45		Hs.519514	Tripartite motif-containing 36			3921785	AI283552	TRIM36					
46		Hs.147950	Chromosome 9 open reading frame 60			3924222	AI285989	C9orf60					
47				qj98d03.x1 NCI_CGAP_Kid3 Homo sapiens cDNA clone IMAGE:1867493 3', mRNA sequence		3840231	AI244834						
48		Hs.530334	Transcribed locus			3839963	AI244566						
49		Hs.154578	Myosin VIIB			3872451	AI264248	MYO7B					
50				qk31g08.x1 NCI_CGAP_Kid3 Homo sapiens cDNA clone IMAGE:1870622 3', mRNA sequence		3841109	AI245712						
51		Hs.241529	Hepatocyte nuclear factor 4, gamma			3872861	AI264658	HNF4G					
52		Hs.19385	Abhydrolase domain containing 5			3836675	AI241278	ABHD5					
53				qk22d09.x1 NCI_CGAP_Kid3 Homo sapiens cDNA clone IMAGE:1869713 3', mRNA sequence		3840587	AI245190						
54		Hs.44269	Shugoshin-like 2 (S. pombe)			3870868	AI262665	SGOL2					
55				qm18g08.x1 NCI_CGAP_Lu5 Homo sapiens cDNA clone IMAGE:1882238 3' similar to contains Alu repetitive element;, mRNA sequence		3917403	AI279169						
56		Hs.142912	Frizzled homolog 2 (Drosophila)			3917538	AI279304	FZD2					
57		Hs.9914	Follistatin			3778298	AI214697	FST					
58		Hs.399779	Hypothetical protein MGC33486			3784708	AI215667	MGC33486					
59		Hs.271341	RAB GTPase activating protein 1			3743170	AI191961	RABGAP1					
60				qe10g02.x1 Soares_testis_NHT Homo sapiens cDNA clone IMAGE:1738610 3', mRNA sequence		3739009	AI187800						
61		Hs.387995	Glycosyltransferase 25 domain containing 2			3594375	AI125861	GLT25D2					
62		Hs.483067	Chromosome 5 open reading frame 13			3665701	AI143892	C5orf13					
63		Hs.144731	Transcribed locus, strongly similar to XP_529356.1 LOC450811 [Pan troglodytes]			3743201	AI191992						
64		Hs.82098	Chromosome 14 open reading frame 28			3743261	AI192052	C14orf28					
65		Hs.214174	Transcribed locus, weakly similar to XP_510104.1 similar to hypothetical protein FLJ25224 [Pan troglodytes]			3735169	AI184531						
66		Hs.146800	Transcribed locus			3678215	AI149746						
